INSERT INTO ALIMENT (REFERENCIA, NOM, PREU) VALUES
('REF1', 'ALI1', 92),
('REF2', 'ALI2', 77),
('REF3', 'ALI3', 57),
('REF4', 'ALI4', 76),
('REF5', 'ALI5', 21),
('REF6', 'ALI6', 49),
('REF7', 'ALI7', 95),
('REF8', 'ALI8', 10),
('REF9', 'ALI9', 33),
('REF10', 'ALI10', 42),
('REF11', 'ALI11', 40),
('REF12', 'ALI12', 100),
('REF13', 'ALI13', 95),
('REF14', 'ALI14', 43),
('REF15', 'ALI15', 57),
('REF16', 'ALI16', 85),
('REF17', 'ALI17', 61),
('REF18', 'ALI18', 6),
('REF19', 'ALI19', 20),
('REF20', 'ALI20', 23),
('REF21', 'ALI21', 67),
('REF22', 'ALI22', 97),
('REF23', 'ALI23', 35),
('REF24', 'ALI24', 17),
('REF25', 'ALI25', 7),
('REF26', 'ALI26', 56),
('REF27', 'ALI27', 7),
('REF28', 'ALI28', 44),
('REF29', 'ALI29', 79),
('REF30', 'ALI30', 40),
('REF31', 'ALI31', 98),
('REF32', 'ALI32', 41),
('REF33', 'ALI33', 55),
('REF34', 'ALI34', 67),
('REF35', 'ALI35', 67),
('REF36', 'ALI36', 1),
('REF37', 'ALI37', 30),
('REF38', 'ALI38', 77),
('REF39', 'ALI39', 66),
('REF40', 'ALI40', 10),
('REF41', 'ALI41', 20),
('REF42', 'ALI42', 67),
('REF43', 'ALI43', 39),
('REF44', 'ALI44', 42),
('REF45', 'ALI45', 63),
('REF46', 'ALI46', 78),
('REF47', 'ALI47', 77),
('REF48', 'ALI48', 17),
('REF49', 'ALI49', 94),
('REF50', 'ALI50', 84),
('REF51', 'ALI51', 36),
('REF52', 'ALI52', 44),
('REF53', 'ALI53', 16),
('REF54', 'ALI54', 8),
('REF55', 'ALI55', 32),
('REF56', 'ALI56', 33),
('REF57', 'ALI57', 77),
('REF58', 'ALI58', 44),
('REF59', 'ALI59', 77),
('REF60', 'ALI60', 47),
('REF61', 'ALI61', 59),
('REF62', 'ALI62', 36),
('REF63', 'ALI63', 60),
('REF64', 'ALI64', 80),
('REF65', 'ALI65', 44),
('REF66', 'ALI66', 73),
('REF67', 'ALI67', 8),
('REF68', 'ALI68', 54),
('REF69', 'ALI69', 52),
('REF70', 'ALI70', 12),
('REF71', 'ALI71', 25),
('REF72', 'ALI72', 83),
('REF73', 'ALI73', 63),
('REF74', 'ALI74', 90),
('REF75', 'ALI75', 82),
('REF76', 'ALI76', 15),
('REF77', 'ALI77', 36),
('REF78', 'ALI78', 93),
('REF79', 'ALI79', 46),
('REF80', 'ALI80', 32),
('REF81', 'ALI81', 97),
('REF82', 'ALI82', 9),
('REF83', 'ALI83', 82),
('REF84', 'ALI84', 10),
('REF85', 'ALI85', 98),
('REF86', 'ALI86', 68),
('REF87', 'ALI87', 30),
('REF88', 'ALI88', 61),
('REF89', 'ALI89', 82),
('REF90', 'ALI90', 72),
('REF91', 'ALI91', 2),
('REF92', 'ALI92', 40),
('REF93', 'ALI93', 18),
('REF94', 'ALI94', 47),
('REF95', 'ALI95', 24),
('REF96', 'ALI96', 100),
('REF97', 'ALI97', 69),
('REF98', 'ALI98', 21),
('REF99', 'ALI99', 99),
('REF100', 'ALI100', 26),
('REF101', 'ALI101', 65),
('REF102', 'ALI102', 7),
('REF103', 'ALI103', 80),
('REF104', 'ALI104', 70),
('REF105', 'ALI105', 19),
('REF106', 'ALI106', 3),
('REF107', 'ALI107', 5),
('REF108', 'ALI108', 77),
('REF109', 'ALI109', 89),
('REF110', 'ALI110', 5),
('REF111', 'ALI111', 19),
('REF112', 'ALI112', 98),
('REF113', 'ALI113', 33),
('REF114', 'ALI114', 45),
('REF115', 'ALI115', 16),
('REF116', 'ALI116', 69),
('REF117', 'ALI117', 55),
('REF118', 'ALI118', 70),
('REF119', 'ALI119', 22),
('REF120', 'ALI120', 64),
('REF121', 'ALI121', 54),
('REF122', 'ALI122', 79),
('REF123', 'ALI123', 44),
('REF124', 'ALI124', 40),
('REF125', 'ALI125', 55),
('REF126', 'ALI126', 41),
('REF127', 'ALI127', 46),
('REF128', 'ALI128', 36),
('REF129', 'ALI129', 46),
('REF130', 'ALI130', 78),
('REF131', 'ALI131', 45),
('REF132', 'ALI132', 77),
('REF133', 'ALI133', 66),
('REF134', 'ALI134', 33),
('REF135', 'ALI135', 98),
('REF136', 'ALI136', 31),
('REF137', 'ALI137', 27),
('REF138', 'ALI138', 14),
('REF139', 'ALI139', 83),
('REF140', 'ALI140', 59),
('REF141', 'ALI141', 8),
('REF142', 'ALI142', 37),
('REF143', 'ALI143', 76),
('REF144', 'ALI144', 26),
('REF145', 'ALI145', 35),
('REF146', 'ALI146', 47),
('REF147', 'ALI147', 95),
('REF148', 'ALI148', 17),
